id,date,incident_type,severity,status,description,reported_by,created_at
254,2025-03-13,SQL Injection,Critical,Open,User reported strange email attachment.,security_team,2025-03-13 09:20:54
255,2025-01-02,Phishing Attempt,High,Investigating,User reported strange email attachment.,system_monitor,2025-01-02 07:59:30
256,2025-02-05,Unauthorized Access,Low,Investigating,Antivirus signature match found.,security_team,2025-02-05 17:46:36
257,2025-02-12,DDoS Attack,High,Mitigated,Antivirus signature match found.,security_team,2025-02-12 14:54:06
258,2024-12-12,SQL Injection,Medium,Open,Firewall blocked multiple port scans.,security_team,2024-12-12 18:08:40
259,2025-11-14,Phishing Attempt,High,Closed,Firewall blocked multiple port scans.,admin,2025-11-14 18:59:08
260,2025-04-27,Ransomware,Medium,Mitigated,Antivirus signature match found.,security_team,2025-04-27 18:40:30
261,2025-03-29,DDoS Attack,Critical,Closed,Database latency exceeded threshold.,jdoe,2025-03-29 04:12:25
262,2025-09-26,Data Breach,High,False Positive,Antivirus signature match found.,security_team,2025-09-26 12:33:54
263,2025-05-07,Phishing Attempt,Critical,Resolved,User reported strange email attachment.,asmith,2025-05-07 07:39:12
264,2025-04-10,DDoS Attack,Medium,Open,Antivirus signature match found.,admin,2025-04-10 04:04:42
265,2025-10-29,Malware Infection,Medium,Closed,Database latency exceeded threshold.,security_team,2025-10-29 14:49:51
266,2025-05-31,Unauthorized Access,Medium,Investigating,Database latency exceeded threshold.,security_team,2025-05-31 03:44:22
267,2025-03-29,DDoS Attack,High,False Positive,Firewall blocked multiple port scans.,admin,2025-03-30 01:09:02
268,2025-07-11,Man-in-the-Middle,Low,Investigating,Unusual outbound traffic pattern.,jdoe,2025-07-11 03:31:54
269,2025-09-30,Insider Threat,High,False Positive,Suspicious login attempt detected.,jdoe,2025-09-30 04:00:01
270,2025-07-21,Phishing Attempt,Critical,Closed,User reported strange email attachment.,system_monitor,2025-07-21 18:27:45
271,2025-04-24,Ransomware,High,Resolved,Firewall blocked multiple port scans.,asmith,2025-04-24 23:57:44
272,2025-06-10,Phishing Attempt,High,Mitigated,Suspicious login attempt detected.,security_team,2025-06-10 22:52:59
273,2025-02-17,Ransomware,Low,Open,User reported strange email attachment.,jdoe,2025-02-17 05:20:08
274,2025-01-13,Data Breach,High,Open,Suspicious login attempt detected.,jdoe,2025-01-13 04:10:31
275,2024-12-21,Man-in-the-Middle,Low,Investigating,User reported strange email attachment.,jdoe,2024-12-21 18:40:11
276,2025-03-19,DDoS Attack,Critical,Investigating,Firewall blocked multiple port scans.,security_team,2025-03-19 16:36:15
277,2025-08-18,Ransomware,High,Resolved,Unusual outbound traffic pattern.,klee,2025-08-18 13:29:45
278,2025-11-15,Ransomware,Medium,False Positive,User reported strange email attachment.,admin,2025-11-15 10:30:41
279,2025-03-11,Man-in-the-Middle,Medium,Resolved,Antivirus signature match found.,jdoe,2025-03-11 08:53:50
280,2025-10-26,DDoS Attack,Critical,Open,Database latency exceeded threshold.,klee,2025-10-26 04:29:58
281,2025-01-31,Malware Infection,Medium,False Positive,User reported strange email attachment.,admin,2025-01-31 08:56:23
282,2025-07-24,Insider Threat,Low,Investigating,Unusual outbound traffic pattern.,system_monitor,2025-07-24 05:20:16
283,2025-11-26,DDoS Attack,Critical,Mitigated,User reported strange email attachment.,security_team,2025-11-26 22:46:10
284,2025-02-08,Man-in-the-Middle,Medium,Closed,Database latency exceeded threshold.,admin,2025-02-08 11:04:43
285,2025-11-20,Unauthorized Access,Low,Investigating,Database latency exceeded threshold.,admin,2025-11-20 06:43:44
286,2025-08-20,Phishing Attempt,High,False Positive,Database latency exceeded threshold.,klee,2025-08-20 05:01:51
287,2025-06-22,Phishing Attempt,Medium,Open,Unusual outbound traffic pattern.,jdoe,2025-06-22 13:17:02
288,2025-04-08,SQL Injection,Medium,Resolved,User reported strange email attachment.,system_monitor,2025-04-08 11:47:16
289,2025-11-20,Phishing Attempt,High,Mitigated,Firewall blocked multiple port scans.,jdoe,2025-11-20 07:11:27
290,2025-01-22,Data Breach,Critical,Mitigated,Firewall blocked multiple port scans.,system_monitor,2025-01-22 04:59:29
291,2025-03-24,SQL Injection,Critical,Open,Firewall blocked multiple port scans.,jdoe,2025-03-24 22:19:13
292,2024-12-15,DDoS Attack,Medium,Resolved,Firewall blocked multiple port scans.,admin,2024-12-15 07:21:35
293,2025-02-25,SQL Injection,Medium,Mitigated,Antivirus signature match found.,admin,2025-02-25 00:28:31
294,2025-01-08,Data Breach,High,Mitigated,Antivirus signature match found.,security_team,2025-01-08 18:29:53
295,2025-07-28,Man-in-the-Middle,High,Closed,Suspicious login attempt detected.,klee,2025-07-28 16:02:15
296,2025-09-11,Malware Infection,High,Open,Firewall blocked multiple port scans.,jdoe,2025-09-11 06:22:55
297,2025-03-31,Phishing Attempt,Medium,Investigating,Unusual outbound traffic pattern.,admin,2025-03-31 08:46:45
298,2025-07-10,SQL Injection,Critical,Investigating,Antivirus signature match found.,jdoe,2025-07-10 15:56:06
299,2025-01-07,Ransomware,High,Investigating,Database latency exceeded threshold.,admin,2025-01-07 23:27:45
300,2025-11-06,SQL Injection,Low,Investigating,Suspicious login attempt detected.,admin,2025-11-06 12:53:45
301,2025-02-24,DDoS Attack,Critical,Mitigated,Database latency exceeded threshold.,klee,2025-02-24 12:16:28
302,2025-12-08,DDoS Attack,High,Mitigated,Unusual outbound traffic pattern.,admin,2025-12-08 15:56:46
303,2025-06-20,Insider Threat,Medium,False Positive,Antivirus signature match found.,system_monitor,2025-06-20 03:46:47
304,2025-10-03,Unauthorized Access,Medium,Mitigated,Firewall blocked multiple port scans.,klee,2025-10-03 03:31:11
305,2025-07-12,DDoS Attack,Critical,Open,Unusual outbound traffic pattern.,admin,2025-07-12 23:01:23
306,2025-02-03,Unauthorized Access,High,Open,Unusual outbound traffic pattern.,security_team,2025-02-03 03:54:29
307,2025-08-11,Data Breach,Critical,Closed,Firewall blocked multiple port scans.,jdoe,2025-08-12 00:18:25
308,2025-12-09,Man-in-the-Middle,Low,Mitigated,Suspicious login attempt detected.,klee,2025-12-09 18:59:55
309,2025-01-22,Unauthorized Access,Critical,Closed,User reported strange email attachment.,admin,2025-01-22 05:40:09
310,2025-10-25,Phishing Attempt,Critical,Resolved,Suspicious login attempt detected.,admin,2025-10-25 12:05:03
311,2025-11-02,Insider Threat,Critical,False Positive,Suspicious login attempt detected.,system_monitor,2025-11-02 18:24:19
312,2025-07-24,Phishing Attempt,High,Closed,User reported strange email attachment.,jdoe,2025-07-25 00:52:16
313,2025-10-14,Ransomware,Critical,Resolved,Database latency exceeded threshold.,admin,2025-10-14 16:55:18
314,2025-03-19,Unauthorized Access,Medium,False Positive,Unusual outbound traffic pattern.,jdoe,2025-03-19 03:54:37
315,2025-10-15,Unauthorized Access,Medium,Investigating,Unusual outbound traffic pattern.,admin,2025-10-15 11:04:28
316,2025-08-28,Ransomware,Low,False Positive,Firewall blocked multiple port scans.,klee,2025-08-28 08:42:19
317,2025-01-28,Unauthorized Access,Medium,Investigating,Firewall blocked multiple port scans.,klee,2025-01-28 21:39:52
318,2025-05-18,DDoS Attack,Medium,Investigating,User reported strange email attachment.,klee,2025-05-18 12:53:00
319,2025-03-15,Phishing Attempt,Critical,Resolved,User reported strange email attachment.,klee,2025-03-15 12:22:58
320,2025-09-04,Unauthorized Access,Low,Investigating,Database latency exceeded threshold.,system_monitor,2025-09-04 09:44:49
321,2025-02-23,Man-in-the-Middle,Medium,Closed,Antivirus signature match found.,system_monitor,2025-02-23 12:15:30
322,2025-09-11,Malware Infection,Medium,Open,Database latency exceeded threshold.,asmith,2025-09-11 15:49:29
323,2025-02-20,Man-in-the-Middle,Low,Investigating,Unusual outbound traffic pattern.,jdoe,2025-02-20 19:56:32
324,2025-04-06,Man-in-the-Middle,Critical,Resolved,Antivirus signature match found.,admin,2025-04-06 11:19:14
325,2025-05-20,Insider Threat,Low,Open,Suspicious login attempt detected.,security_team,2025-05-20 14:38:01
326,2025-07-03,Malware Infection,Critical,Investigating,Antivirus signature match found.,security_team,2025-07-03 12:24:51
327,2025-05-23,Phishing Attempt,Critical,Mitigated,Antivirus signature match found.,asmith,2025-05-23 12:41:55
328,2024-12-26,Man-in-the-Middle,High,False Positive,Database latency exceeded threshold.,security_team,2024-12-26 19:14:13
329,2025-08-14,SQL Injection,Critical,Closed,Suspicious login attempt detected.,system_monitor,2025-08-14 17:30:50
330,2025-04-25,Phishing Attempt,Medium,Resolved,Suspicious login attempt detected.,klee,2025-04-25 03:54:10
331,2025-04-12,Data Breach,Medium,Mitigated,User reported strange email attachment.,security_team,2025-04-12 08:02:26
332,2025-10-14,Malware Infection,High,Resolved,Suspicious login attempt detected.,jdoe,2025-10-14 03:23:34
333,2025-09-01,Ransomware,Medium,Open,Firewall blocked multiple port scans.,jdoe,2025-09-01 12:56:14
334,2025-02-22,Phishing Attempt,High,Open,Unusual outbound traffic pattern.,system_monitor,2025-02-22 21:00:35
335,2025-04-30,DDoS Attack,Low,Investigating,Suspicious login attempt detected.,admin,2025-04-30 10:48:20
336,2024-12-15,Phishing Attempt,Low,False Positive,User reported strange email attachment.,system_monitor,2024-12-15 21:01:51
337,2025-04-14,Phishing Attempt,Medium,Resolved,Suspicious login attempt detected.,asmith,2025-04-14 19:42:56
338,2025-09-18,Unauthorized Access,Critical,Mitigated,Firewall blocked multiple port scans.,security_team,2025-09-18 08:37:26
339,2025-09-24,Ransomware,Critical,Investigating,Firewall blocked multiple port scans.,security_team,2025-09-24 03:47:33
340,2025-06-27,DDoS Attack,Medium,Investigating,Antivirus signature match found.,security_team,2025-06-27 18:36:31
341,2025-01-10,Ransomware,Critical,Mitigated,Unusual outbound traffic pattern.,asmith,2025-01-10 09:37:25
342,2025-02-05,Data Breach,Low,Mitigated,Suspicious login attempt detected.,jdoe,2025-02-05 15:33:13
343,2025-12-03,DDoS Attack,Critical,False Positive,Suspicious login attempt detected.,jdoe,2025-12-03 14:56:03
344,2025-05-22,Insider Threat,Critical,Mitigated,Database latency exceeded threshold.,admin,2025-05-22 06:22:59
345,2025-08-06,Man-in-the-Middle,Medium,Mitigated,Suspicious login attempt detected.,security_team,2025-08-06 12:31:54
346,2025-10-03,Unauthorized Access,High,Resolved,User reported strange email attachment.,admin,2025-10-03 16:06:37
347,2025-10-07,Phishing Attempt,High,Mitigated,Firewall blocked multiple port scans.,system_monitor,2025-10-07 12:02:45
348,2025-03-31,Ransomware,High,Investigating,User reported strange email attachment.,admin,2025-03-31 06:03:26
349,2025-11-27,SQL Injection,Critical,Mitigated,Antivirus signature match found.,security_team,2025-11-27 04:29:49
350,2025-10-30,Insider Threat,High,False Positive,User reported strange email attachment.,system_monitor,2025-10-30 13:05:49
351,2025-03-17,SQL Injection,Medium,Investigating,User reported strange email attachment.,security_team,2025-03-17 06:13:57
352,2025-10-07,Malware Infection,Low,Closed,Unusual outbound traffic pattern.,asmith,2025-10-07 09:11:10
353,2024-12-20,SQL Injection,Critical,Closed,Database latency exceeded threshold.,jdoe,2024-12-20 03:06:20
354,2025-02-27,Insider Threat,Medium,Mitigated,Database latency exceeded threshold.,jdoe,2025-02-27 10:13:34
355,2025-11-18,Insider Threat,High,False Positive,Suspicious login attempt detected.,security_team,2025-11-19 00:03:03
356,2025-09-04,Malware Infection,Low,Investigating,Unusual outbound traffic pattern.,admin,2025-09-04 15:20:33
357,2025-09-02,Man-in-the-Middle,Critical,Resolved,Unusual outbound traffic pattern.,klee,2025-09-02 12:26:19
358,2025-10-30,DDoS Attack,Low,Mitigated,Unusual outbound traffic pattern.,admin,2025-10-30 14:04:18
359,2025-01-05,Malware Infection,High,Investigating,Firewall blocked multiple port scans.,security_team,2025-01-05 00:55:24
360,2025-11-25,Data Breach,Medium,Investigating,User reported strange email attachment.,admin,2025-11-26 00:05:56
361,2025-02-07,SQL Injection,Low,Closed,User reported strange email attachment.,admin,2025-02-07 18:53:37
362,2025-07-04,Unauthorized Access,Low,False Positive,Antivirus signature match found.,admin,2025-07-04 07:28:53
363,2025-09-20,Data Breach,Medium,Investigating,Database latency exceeded threshold.,admin,2025-09-20 17:51:05
364,2025-05-26,Phishing Attempt,High,Closed,Database latency exceeded threshold.,jdoe,2025-05-26 18:50:54
365,2025-10-29,DDoS Attack,Low,Closed,Suspicious login attempt detected.,security_team,2025-10-29 19:26:57
366,2025-08-27,Malware Infection,Low,Resolved,Unusual outbound traffic pattern.,security_team,2025-08-27 18:54:26
367,2025-03-15,Malware Infection,Medium,False Positive,Firewall blocked multiple port scans.,asmith,2025-03-15 15:25:57
368,2025-07-21,Unauthorized Access,High,Mitigated,Firewall blocked multiple port scans.,system_monitor,2025-07-21 11:27:43
369,2025-03-31,SQL Injection,Low,Mitigated,User reported strange email attachment.,security_team,2025-03-31 23:30:52
370,2025-05-01,Data Breach,Low,Open,Firewall blocked multiple port scans.,asmith,2025-05-01 15:12:18
371,2025-04-22,Phishing Attempt,Critical,Open,Suspicious login attempt detected.,klee,2025-04-22 15:51:40
372,2025-11-11,Ransomware,High,Mitigated,User reported strange email attachment.,system_monitor,2025-11-11 17:37:03
373,2025-11-18,Phishing Attempt,Low,False Positive,Firewall blocked multiple port scans.,security_team,2025-11-18 19:54:11
374,2025-01-06,Malware Infection,Medium,False Positive,Suspicious login attempt detected.,klee,2025-01-06 08:03:41
375,2025-11-19,Malware Infection,High,Resolved,Firewall blocked multiple port scans.,asmith,2025-11-19 04:42:25
376,2025-05-10,Phishing Attempt,Critical,Resolved,Database latency exceeded threshold.,asmith,2025-05-11 00:46:34
377,2025-02-23,Malware Infection,High,Closed,Unusual outbound traffic pattern.,system_monitor,2025-02-23 11:59:06
378,2025-09-20,Ransomware,Critical,Open,User reported strange email attachment.,jdoe,2025-09-20 19:44:17
379,2025-01-10,Man-in-the-Middle,Low,False Positive,Firewall blocked multiple port scans.,klee,2025-01-10 18:18:14
380,2024-12-20,Insider Threat,Critical,False Positive,Antivirus signature match found.,klee,2024-12-20 22:25:22
381,2025-07-11,Unauthorized Access,High,Mitigated,Firewall blocked multiple port scans.,klee,2025-07-11 07:16:26
382,2025-10-12,Insider Threat,Critical,Resolved,Suspicious login attempt detected.,admin,2025-10-12 20:34:08
383,2025-10-17,Ransomware,Low,Resolved,Database latency exceeded threshold.,klee,2025-10-17 06:35:30
384,2025-11-05,SQL Injection,Critical,Closed,Database latency exceeded threshold.,jdoe,2025-11-05 04:18:27
385,2025-07-16,Malware Infection,High,Resolved,Unusual outbound traffic pattern.,admin,2025-07-16 05:00:35
386,2025-03-04,SQL Injection,High,Resolved,Suspicious login attempt detected.,admin,2025-03-04 22:46:41
387,2025-02-25,Phishing Attempt,Medium,Resolved,Firewall blocked multiple port scans.,security_team,2025-02-25 17:36:59
388,2025-10-15,Insider Threat,High,Investigating,Unusual outbound traffic pattern.,klee,2025-10-15 10:41:09
389,2025-11-28,SQL Injection,Medium,Open,Unusual outbound traffic pattern.,asmith,2025-11-28 05:43:11
390,2025-11-16,DDoS Attack,Low,Resolved,Suspicious login attempt detected.,system_monitor,2025-11-16 05:39:00
391,2025-06-09,SQL Injection,Critical,Investigating,Firewall blocked multiple port scans.,asmith,2025-06-09 04:03:15
392,2025-08-18,Ransomware,High,False Positive,Database latency exceeded threshold.,klee,2025-08-18 08:22:32
393,2024-12-20,SQL Injection,Critical,Investigating,Firewall blocked multiple port scans.,security_team,2024-12-20 17:36:25
394,2025-02-13,Malware Infection,Low,Investigating,Suspicious login attempt detected.,system_monitor,2025-02-13 20:19:57
395,2025-10-31,Phishing Attempt,Low,False Positive,Suspicious login attempt detected.,admin,2025-10-31 09:10:53
396,2025-08-10,Ransomware,Critical,Resolved,Firewall blocked multiple port scans.,jdoe,2025-08-10 23:44:49
397,2025-09-21,Malware Infection,Critical,Mitigated,Suspicious login attempt detected.,security_team,2025-09-21 03:44:43
398,2025-07-03,Malware Infection,High,Mitigated,Database latency exceeded threshold.,security_team,2025-07-03 21:16:17
399,2025-09-28,DDoS Attack,Medium,Resolved,Firewall blocked multiple port scans.,system_monitor,2025-09-28 06:32:11
400,2025-11-23,Ransomware,Medium,Closed,Suspicious login attempt detected.,admin,2025-11-23 02:15:48
401,2025-07-24,Man-in-the-Middle,Critical,Resolved,Database latency exceeded threshold.,security_team,2025-07-24 06:22:34
402,2025-12-07,Ransomware,Medium,Mitigated,User reported strange email attachment.,security_team,2025-12-07 09:24:41
403,2025-08-12,DDoS Attack,High,Open,Suspicious login attempt detected.,security_team,2025-08-12 21:14:07
404,2025-07-27,Insider Threat,High,False Positive,Antivirus signature match found.,jdoe,2025-07-27 08:40:25
405,2025-11-14,Phishing Attempt,High,Closed,User reported strange email attachment.,klee,2025-11-14 15:16:07
406,2025-01-13,Ransomware,Low,Mitigated,Firewall blocked multiple port scans.,jdoe,2025-01-13 06:30:49
407,2025-08-30,Unauthorized Access,Critical,Investigating,Antivirus signature match found.,security_team,2025-08-30 20:26:52
408,2025-03-23,DDoS Attack,Critical,Closed,Firewall blocked multiple port scans.,security_team,2025-03-23 15:02:55
409,2025-08-26,Ransomware,Critical,Mitigated,Suspicious login attempt detected.,jdoe,2025-08-26 16:08:31
410,2025-07-05,Data Breach,High,Investigating,Firewall blocked multiple port scans.,security_team,2025-07-05 11:17:36
411,2024-12-30,Phishing Attempt,Low,Resolved,Database latency exceeded threshold.,admin,2024-12-30 10:16:24
412,2025-07-16,SQL Injection,Medium,False Positive,User reported strange email attachment.,system_monitor,2025-07-16 16:16:58
413,2025-05-21,Unauthorized Access,Critical,Mitigated,Firewall blocked multiple port scans.,system_monitor,2025-05-21 04:40:26
414,2025-09-24,Unauthorized Access,Medium,Investigating,Database latency exceeded threshold.,asmith,2025-09-24 17:02:51
415,2025-06-19,Ransomware,Critical,Investigating,Database latency exceeded threshold.,klee,2025-06-19 17:47:24
416,2025-02-13,Data Breach,Medium,Open,Database latency exceeded threshold.,system_monitor,2025-02-13 03:27:53
417,2025-07-27,SQL Injection,Medium,False Positive,User reported strange email attachment.,system_monitor,2025-07-27 06:11:09
418,2025-01-08,Unauthorized Access,Low,Closed,Antivirus signature match found.,jdoe,2025-01-08 21:19:24
419,2025-11-24,Malware Infection,Critical,Investigating,Antivirus signature match found.,security_team,2025-11-24 18:47:03
420,2025-08-03,Man-in-the-Middle,Medium,False Positive,Database latency exceeded threshold.,klee,2025-08-03 19:58:25
421,2025-08-26,SQL Injection,Critical,Mitigated,Firewall blocked multiple port scans.,system_monitor,2025-08-26 13:58:19
422,2025-05-28,Phishing Attempt,High,False Positive,Firewall blocked multiple port scans.,asmith,2025-05-28 16:22:36
423,2025-03-26,Phishing Attempt,Medium,False Positive,Antivirus signature match found.,security_team,2025-03-27 01:34:11
424,2025-02-12,SQL Injection,Medium,Mitigated,Database latency exceeded threshold.,system_monitor,2025-02-12 09:37:10
425,2025-01-19,Malware Infection,Critical,False Positive,Suspicious login attempt detected.,klee,2025-01-19 19:58:55
426,2025-12-03,Unauthorized Access,Low,Closed,Suspicious login attempt detected.,jdoe,2025-12-04 00:10:31
427,2025-10-26,Phishing Attempt,Medium,Closed,Database latency exceeded threshold.,security_team,2025-10-26 14:18:49
428,2025-05-26,Insider Threat,Critical,Investigating,Database latency exceeded threshold.,security_team,2025-05-26 10:29:26
429,2025-10-26,Ransomware,High,Mitigated,Antivirus signature match found.,admin,2025-10-26 19:06:04
430,2025-05-19,Data Breach,Low,Resolved,Firewall blocked multiple port scans.,jdoe,2025-05-19 21:48:41
431,2025-01-17,Unauthorized Access,Critical,Closed,Firewall blocked multiple port scans.,jdoe,2025-01-17 03:29:53
432,2025-04-01,Malware Infection,Low,Resolved,Database latency exceeded threshold.,klee,2025-04-01 21:17:44
433,2025-11-27,Data Breach,Medium,Open,Database latency exceeded threshold.,system_monitor,2025-11-27 19:08:36
434,2025-02-18,Ransomware,Low,Mitigated,Unusual outbound traffic pattern.,klee,2025-02-18 12:43:03
435,2025-03-23,Phishing Attempt,High,Mitigated,Firewall blocked multiple port scans.,asmith,2025-03-23 22:13:14
436,2025-08-21,Insider Threat,Low,Resolved,User reported strange email attachment.,admin,2025-08-21 23:13:06
437,2025-01-19,Ransomware,Medium,Resolved,Firewall blocked multiple port scans.,jdoe,2025-01-19 14:42:29
438,2025-09-26,DDoS Attack,Low,Mitigated,User reported strange email attachment.,admin,2025-09-26 12:43:08
439,2024-12-13,Data Breach,Critical,Resolved,Suspicious login attempt detected.,klee,2024-12-13 08:02:44
440,2025-01-25,Ransomware,High,Investigating,Firewall blocked multiple port scans.,jdoe,2025-01-25 11:47:15
441,2025-08-08,Insider Threat,Critical,Open,Antivirus signature match found.,security_team,2025-08-08 09:32:51
442,2025-09-30,Unauthorized Access,Medium,Mitigated,Suspicious login attempt detected.,admin,2025-09-30 21:30:47
443,2025-02-13,Insider Threat,High,Resolved,Firewall blocked multiple port scans.,security_team,2025-02-13 14:37:53
444,2025-03-12,SQL Injection,High,Resolved,Firewall blocked multiple port scans.,system_monitor,2025-03-12 09:44:28
445,2025-01-17,Phishing Attempt,Medium,Open,Database latency exceeded threshold.,klee,2025-01-17 22:17:08
446,2025-09-05,Malware Infection,Medium,False Positive,Suspicious login attempt detected.,system_monitor,2025-09-05 02:22:27
447,2025-06-29,Insider Threat,Critical,Open,Suspicious login attempt detected.,admin,2025-06-29 10:28:02
448,2025-09-29,Insider Threat,High,False Positive,Database latency exceeded threshold.,admin,2025-09-29 07:49:33
449,2025-02-03,Data Breach,High,Closed,User reported strange email attachment.,system_monitor,2025-02-03 01:40:06
450,2025-11-03,Insider Threat,Low,Closed,User reported strange email attachment.,security_team,2025-11-03 11:32:22
451,2025-05-26,Data Breach,Critical,Investigating,Unusual outbound traffic pattern.,system_monitor,2025-05-26 12:30:09
452,2025-01-30,DDoS Attack,Medium,Resolved,User reported strange email attachment.,asmith,2025-01-30 19:30:57
453,2025-09-24,Man-in-the-Middle,Low,Investigating,Firewall blocked multiple port scans.,klee,2025-09-24 17:23:09
454,2025-02-18,Ransomware,Medium,Resolved,Suspicious login attempt detected.,admin,2025-02-18 10:39:09
455,2025-06-29,Phishing Attempt,Low,Mitigated,Antivirus signature match found.,admin,2025-06-29 02:51:33
456,2025-06-20,Unauthorized Access,Low,Resolved,Firewall blocked multiple port scans.,asmith,2025-06-20 14:14:49
457,2025-11-13,Unauthorized Access,Medium,Mitigated,Suspicious login attempt detected.,security_team,2025-11-13 23:19:52
458,2025-03-03,Insider Threat,Critical,Resolved,Antivirus signature match found.,admin,2025-03-03 01:08:54
459,2025-04-01,Insider Threat,Low,Resolved,Database latency exceeded threshold.,security_team,2025-04-02 00:36:16
460,2025-11-04,Ransomware,Low,Investigating,User reported strange email attachment.,asmith,2025-11-04 06:23:08
461,2025-03-19,Insider Threat,High,False Positive,Unusual outbound traffic pattern.,system_monitor,2025-03-19 21:25:27
462,2025-01-03,Data Breach,Medium,Open,Suspicious login attempt detected.,asmith,2025-01-03 03:23:19
463,2025-11-21,SQL Injection,Critical,Open,User reported strange email attachment.,klee,2025-11-21 02:29:27
464,2025-11-10,Phishing Attempt,Medium,Investigating,User reported strange email attachment.,system_monitor,2025-11-10 10:54:08
465,2025-03-29,Unauthorized Access,Critical,Resolved,Database latency exceeded threshold.,security_team,2025-03-29 16:28:09
466,2025-07-11,Man-in-the-Middle,High,Mitigated,Firewall blocked multiple port scans.,asmith,2025-07-11 07:35:04
467,2025-11-05,Unauthorized Access,Medium,False Positive,Firewall blocked multiple port scans.,security_team,2025-11-05 13:56:05
468,2025-08-27,Unauthorized Access,High,Resolved,Firewall blocked multiple port scans.,system_monitor,2025-08-27 15:00:02
469,2025-09-13,Malware Infection,Medium,Closed,Antivirus signature match found.,security_team,2025-09-13 18:13:05
470,2025-01-17,Data Breach,Medium,False Positive,Firewall blocked multiple port scans.,klee,2025-01-17 08:54:57
471,2025-08-13,Malware Infection,Low,Mitigated,Suspicious login attempt detected.,system_monitor,2025-08-13 06:41:19
472,2025-03-05,Unauthorized Access,Critical,Open,Suspicious login attempt detected.,admin,2025-03-05 02:24:02
473,2024-12-21,Malware Infection,Low,Investigating,User reported strange email attachment.,admin,2024-12-21 17:46:20
474,2025-06-04,Data Breach,Low,Open,Unusual outbound traffic pattern.,klee,2025-06-04 17:35:17
475,2024-12-28,DDoS Attack,Low,Closed,Database latency exceeded threshold.,jdoe,2024-12-28 17:51:39
476,2025-10-28,Insider Threat,Low,Mitigated,Unusual outbound traffic pattern.,klee,2025-10-28 15:48:58
477,2025-04-16,Malware Infection,Critical,Open,Unusual outbound traffic pattern.,jdoe,2025-04-16 14:44:30
478,2025-04-13,Insider Threat,Critical,Resolved,Database latency exceeded threshold.,admin,2025-04-13 17:32:58
479,2025-05-09,Insider Threat,High,Mitigated,User reported strange email attachment.,security_team,2025-05-10 00:34:36
480,2025-08-10,Ransomware,Low,False Positive,Unusual outbound traffic pattern.,jdoe,2025-08-10 22:01:32
481,2025-10-18,SQL Injection,High,Mitigated,Database latency exceeded threshold.,asmith,2025-10-18 13:01:15
482,2025-07-17,Unauthorized Access,Critical,Mitigated,Antivirus signature match found.,asmith,2025-07-17 18:54:51
483,2025-02-13,Phishing Attempt,Medium,False Positive,Antivirus signature match found.,jdoe,2025-02-13 14:42:50
484,2025-08-05,Ransomware,Medium,Investigating,Unusual outbound traffic pattern.,security_team,2025-08-05 08:17:20
485,2025-08-30,Unauthorized Access,Low,Closed,User reported strange email attachment.,asmith,2025-08-30 08:23:55
486,2025-07-01,Unauthorized Access,Low,Investigating,Suspicious login attempt detected.,asmith,2025-07-01 09:02:16
487,2025-12-10,DDoS Attack,High,Investigating,Suspicious login attempt detected.,system_monitor,2025-12-10 05:19:14
488,2025-03-10,Data Breach,Critical,Investigating,User reported strange email attachment.,asmith,2025-03-10 13:49:54
489,2025-07-13,Ransomware,Low,False Positive,User reported strange email attachment.,asmith,2025-07-13 22:45:39
490,2024-12-16,DDoS Attack,Critical,Closed,Antivirus signature match found.,system_monitor,2024-12-16 09:03:22
491,2024-12-29,Insider Threat,High,Investigating,User reported strange email attachment.,klee,2024-12-29 16:02:27
492,2025-10-07,Phishing Attempt,Medium,Investigating,Antivirus signature match found.,system_monitor,2025-10-07 18:25:51
493,2025-07-24,Man-in-the-Middle,Medium,False Positive,Antivirus signature match found.,klee,2025-07-24 14:16:36
494,2025-02-19,Unauthorized Access,High,False Positive,Database latency exceeded threshold.,admin,2025-02-19 10:01:57
495,2025-06-07,DDoS Attack,Medium,False Positive,Unusual outbound traffic pattern.,jdoe,2025-06-07 05:23:14
496,2024-12-25,Ransomware,Critical,Resolved,Suspicious login attempt detected.,klee,2024-12-25 16:34:33
497,2024-12-22,Malware Infection,Low,Mitigated,Firewall blocked multiple port scans.,system_monitor,2024-12-22 03:59:08
498,2025-05-27,Man-in-the-Middle,Medium,Open,Firewall blocked multiple port scans.,jdoe,2025-05-28 00:59:32
499,2025-10-14,Unauthorized Access,High,Closed,Unusual outbound traffic pattern.,security_team,2025-10-14 16:55:05
500,2025-07-14,Man-in-the-Middle,Medium,Closed,Firewall blocked multiple port scans.,system_monitor,2025-07-14 22:37:36
501,2025-09-23,SQL Injection,Low,Resolved,Suspicious login attempt detected.,jdoe,2025-09-23 22:03:34
502,2025-01-12,Data Breach,Critical,Resolved,User reported strange email attachment.,jdoe,2025-01-12 06:36:48
503,2025-05-19,Malware Infection,Critical,False Positive,Antivirus signature match found.,asmith,2025-05-19 08:12:01
504,2025-09-03,SQL Injection,Critical,Resolved,Antivirus signature match found.,security_team,2025-09-03 01:33:19
505,2024-12-11,SQL Injection,High,Closed,Database latency exceeded threshold.,admin,2024-12-11 23:07:52
506,2025-11-29,Phishing Attempt,High,Closed,Suspicious login attempt detected.,klee,2025-11-29 19:03:21
